pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=4,sr<=40%,kvB<=16k,kp<=2k,1.0026,2
16,n<=4,sr<=40%,kvB<=16k,kp<=4k,1.0061,2
16,n<=4,sr<=40%,kvB<=16k,kp<=512,1.0021,2
16,n<=4,sr<=40%,kvB<=16k,kp<=8k,1.0011,1
16,n<=4,sr<=40%,kvB<=16k,kp=0,1.0006,2
16,n<=4,sr<=40%,kvB<=1k,kp<=1k,0.5581,1
16,n<=4,sr<=40%,kvB<=1k,kp<=2k,-0.6682,1
16,n<=4,sr<=40%,kvB<=1k,kp<=4k,-0.878,1
16,n<=4,sr<=40%,kvB<=1k,kp<=512,0.967,2
16,n<=4,sr<=40%,kvB<=1k,kp<=8k,-2.2677,1
16,n<=4,sr<=40%,kvB<=1k,kp=0,0.9757,5
16,n<=4,sr<=40%,kvB<=4k,kp<=1k,0.992,2
16,n<=4,sr<=40%,kvB<=4k,kp<=2k,1.0047,2
16,n<=4,sr<=40%,kvB<=4k,kp<=4k,-0.1235,2
16,n<=4,sr<=40%,kvB<=4k,kp<=512,0.9947,2
16,n<=4,sr<=40%,kvB<=4k,kp=0,0.9904,3
16,n<=4,sr<=70%,kvB<=16k,kp<=1k,0.9884,2
16,n<=4,sr<=70%,kvB<=16k,kp<=2k,0.9874,2
16,n<=4,sr<=70%,kvB<=16k,kp<=4k,1.0014,2
16,n<=4,sr<=70%,kvB<=16k,kp<=512,0.9955,2
16,n<=4,sr<=70%,kvB<=16k,kp<=8k,0.9982,1
16,n<=4,sr<=70%,kvB<=16k,kp=0,0.9924,2
16,n<=4,sr<=70%,kvB<=1k,kp<=1k,0.1445,2
16,n<=4,sr<=70%,kvB<=1k,kp<=2k,-0.2335,2
16,n<=4,sr<=70%,kvB<=1k,kp<=4k,-0.4343,2
16,n<=4,sr<=70%,kvB<=1k,kp<=512,0.992,2
